Internship ID,Title,Organization,Skills Required,Sector,Location (State),Stipend (₹/Month),Duration (Months),Eligibility,Application Deadline
1,Content Writing Intern,Ministry of Education,"MS Excel, Typing",Social Sector,Delhi,7986,3,B.Tech,31-10-2025
2,Software Testing Intern,Ministry of IT,"MS Excel, Typing",Social Sector,Delhi,7795,3,M.Sc.,25-09-2025
3,Software Testing Intern,Ministry of Finance,"Photoshop, Illustrator",Quality Assurance,West Bengal,12977,6,BBA,17-10-2025
4,Content Writing Intern,Ministry of Education,"SEO, Content Strategy",Marketing,Karnataka,12705,6,B.Tech,29-10-2025
5,Digital Marketing Intern,Ministry of Education,"Manual Testing, Automation Tools",Design,Tamil Nadu,6918,3,M.Sc.,06-10-2025
6,Data Entry Intern,NGO Green Earth,"Financial Modelling, Excel",Social Sector,Delhi,14213,3,BA,07-11-2025
7,Digital Marketing Intern,Ministry of Health,"MS Excel, Typing",Social Sector,Maharashtra,13246,3,Any Graduate,12-10-2025
8,Digital Marketing Intern,Ministry of Health,"Manual Testing, Automation Tools",Design,Bihar,14650,3,M.Sc.,05-11-2025
9,Social Work Intern,Ministry of Health,Community Engagement,Social Sector,West Bengal,14142,6,BA,18-10-2025
10,Graphic Design Intern,Ministry of Finance,"HTML, CSS, JS",Administration,Uttar Pradesh,8950,6,B.Tech,10-10-2025
11,Event Management Intern,NGO Help India,"Creative Writing, Research",Quality Assurance,Maharashtra,13773,6,M.Sc.,04-11-2025
12,Data Entry Intern,Ministry of IT,"MS Excel, Typing",Design,West Bengal,14647,6,Any Graduate,29-09-2025
13,Software Testing Intern,NGO Green Earth,"Financial Modelling, Excel",Finance,Maharashtra,5261,3,BA,25-10-2025
14,Web Development Intern,Ministry of Health,"Photoshop, Illustrator",Administration,Karnataka,13464,3,Any Graduate,01-11-2025
15,Financial Analyst Intern,NGO Help India,"Financial Modelling, Excel",Policy,West Bengal,8257,6,BA,07-10-2025
16,Content Writing Intern,Ministry of Education,Community Engagement,Administration,Karnataka,8029,3,Any Graduate,27-09-2025
17,Content Writing Intern,NGO Green Earth,"HTML, CSS, JS",Policy,Karnataka,9413,3,Any Graduate,28-09-2025
18,Software Testing Intern,Ministry of Education,Community Engagement,Design,Tamil Nadu,14663,6,M.A.,23-09-2025
19,Research Intern (Public Policy),NGO Help India,Community Engagement,IT,Delhi,6530,6,Any Graduate,06-10-2025
20,Web Development Intern,Ministry of Culture,"Creative Writing, Research",IT,Rajasthan,13576,6,M.A.,07-10-2025
21,Software Testing Intern,NGO Help India,"MS Excel, Typing",Policy,Uttar Pradesh,7029,6,B.Tech,22-10-2025
22,Research Intern (Public Policy),Ministry of Education,"SEO, Content Strategy",Policy,Delhi,8382,3,M.A.,29-09-2025
23,Web Development Intern,Ministry of Finance,"SEO, Content Strategy",Social Sector,Tamil Nadu,14324,6,BBA,30-10-2025
24,Digital Marketing Intern,NITI Aayog,"MS Excel, Typing",Marketing,Bihar,13255,6,BBA,28-09-2025
25,Research Intern (Public Policy),Ministry of Culture,"Event Planning, Coordination",Quality Assurance,Karnataka,12831,3,M.A.,23-10-2025
26,Digital Marketing Intern,Ministry of IT,"Creative Writing, Research",Finance,Tamil Nadu,13110,6,Any Graduate,19-10-2025
27,Web Development Intern,Ministry of Health,"SEO, Content Strategy",Social Sector,Rajasthan,13361,3,M.A.,21-10-2025
28,Digital Marketing Intern,Ministry of Culture,"Event Planning, Coordination",Quality Assurance,Uttar Pradesh,14965,6,BBA,06-10-2025
29,Web Development Intern,Ministry of Finance,"Event Planning, Coordination",Marketing,Tamil Nadu,10588,3,B.Tech,24-09-2025
30,Research Intern (Public Policy),Ministry of Health,"Photoshop, Illustrator",Social Sector,West Bengal,13757,6,B.Tech,12-10-2025
31,Web Development Intern,Ministry of Finance,"SEO, Content Strategy",Events,Maharashtra,14150,3,M.A.,04-11-2025
32,Graphic Design Intern,NGO Help India,"HTML, CSS, JS",Marketing,Uttar Pradesh,14491,6,M.Sc.,03-10-2025
33,Digital Marketing Intern,Ministry of Culture,"Event Planning, Coordination",Marketing,Rajasthan,11522,3,BA,28-10-2025
34,Data Entry Intern,NGO Green Earth,"Event Planning, Coordination",Design,Delhi,12456,3,BA,25-10-2025
35,Software Testing Intern,Ministry of Culture,"Creative Writing, Research",Content,Bihar,9670,6,B.Tech,29-10-2025
36,Social Work Intern,Ministry of Health,"Financial Modelling, Excel",IT,Rajasthan,6650,6,M.A.,10-10-2025
37,Content Writing Intern,NGO Green Earth,Community Engagement,Design,West Bengal,5823,6,BBA,07-10-2025
38,Financial Analyst Intern,Ministry of Education,"Financial Modelling, Excel",Events,West Bengal,7605,3,BBA,30-09-2025
39,Research Intern (Public Policy),Ministry of Culture,"Data Analysis, Report Writing",Content,Karnataka,6414,6,M.A.,10-10-2025
40,Financial Analyst Intern,Ministry of Health,"Data Analysis, Report Writing",Social Sector,Karnataka,10647,3,B.Tech,21-10-2025
41,Software Testing Intern,Ministry of Health,"Photoshop, Illustrator",Marketing,Karnataka,8931,6,B.Tech,05-10-2025
42,Digital Marketing Intern,NGO Green Earth,"Data Analysis, Report Writing",Design,Rajasthan,13565,6,B.Tech,27-10-2025
43,Research Intern (Public Policy),Ministry of Culture,Community Engagement,Quality Assurance,Rajasthan,7628,6,M.Sc.,11-10-2025
44,Data Entry Intern,NGO Help India,"Event Planning, Coordination",Policy,Maharashtra,14379,6,B.Tech,21-10-2025
45,Web Development Intern,Ministry of Education,"MS Excel, Typing",Design,West Bengal,9778,6,M.Sc.,14-10-2025
46,Research Intern (Public Policy),Ministry of Health,"Event Planning, Coordination",Administration,Maharashtra,10048,3,M.Sc.,09-10-2025
47,Graphic Design Intern,NITI Aayog,"MS Excel, Typing",Policy,West Bengal,12038,3,Any Graduate,21-10-2025
48,Web Development Intern,Ministry of Culture,"HTML, CSS, JS",Finance,Delhi,9537,6,M.Sc.,15-10-2025
49,Data Entry Intern,Ministry of Culture,"Event Planning, Coordination",Quality Assurance,Karnataka,12876,3,M.Sc.,27-09-2025
50,Graphic Design Intern,NGO Help India,Community Engagement,Events,Karnataka,6843,3,B.Tech,30-09-2025
51,Web Development Intern,NITI Aayog,"Data Analysis, Report Writing",Marketing,Tamil Nadu,13131,3,B.Tech,30-10-2025
52,Content Writing Intern,NGO Green Earth,"Financial Modelling, Excel",Finance,Bihar,14194,3,BBA,05-10-2025
53,Event Management Intern,Ministry of Health,"SEO, Content Strategy",Events,Bihar,7878,6,M.A.,16-10-2025
54,Software Testing Intern,NGO Green Earth,"Data Analysis, Report Writing",Administration,Karnataka,11205,3,BA,27-10-2025
55,Digital Marketing Intern,NGO Green Earth,"Photoshop, Illustrator",Finance,Tamil Nadu,5664,6,M.Sc.,06-10-2025
56,Financial Analyst Intern,NGO Help India,"Manual Testing, Automation Tools",Policy,Rajasthan,10817,3,Any Graduate,04-10-2025
